pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 208	Average Score: -282.42
Episode 209	Average Score: -282.31
Episode 210	Average Score: -282.21
Episode 211	Average Score: -282.12
Episode 212	Average Score: -281.86
Episode 213	Average Score: -282.13
Episode 214	Average Score: -282.17
Episode 215	Average Score: -282.39
Episode 216	Average Score: -282.39
Episode 217	Average Score: -282.65
Episode 218	Average Score: -282.61
Episode 219	Average Score: -282.47
Episode 220	Average Score: -282.49
Episode 221	Average Score: -282.45
Episode 222	Average Score: -282.50
Episode 223	Average Score: -282.29
Episode 224	Average Score: -282.29
Episode 225	Average Score: -282.51
Episode 226	Average Score: -274.66
Episode 227	Average Score: -274.47
Episode 228	Average Score: -274.48
Episode 229	Average Score: -274.54
Episode 230	Average Score: -274.26
Episode 231	Average Score: -274.39
Episode 232	Average Score: -274.59
Episode 233	Average Score: -274.59
Episode 234	Average Score: -274.32
Episode 235	Average Score: -274.33
Episode 236	Average Score: -274.39
Episode 237	Average Score: -274.67
Episode 238	Average Score: -274.55
Episode 239	Average Score: -274.81
Episode 240	Average Score: -275.07
Episode 241	Average Score: -274.83
Episode 242	Average Score: -274.99
Episode 243	Average Score: -274.99
Episode 244	Average Score: -282.90
Episode 245	Average Score: -282.75
Episode 246	Average Score: -283.03
Episode 247	Average Score: -283.32
Episode 248	Average Score: -283.56
Episode 249	Average Score: -283.84
Episode 250	Average Score: -283.68
Episode 251	Average Score: -283.76
Episode 252	Average Score: -283.88
Episode 253	Average Score: -283.65
Episode 254	Average Score: -283.78
Episode 255	Average Score: -284.07
Episode 256	Average Score: -284.21
Episode 257	Average Score: -284.21
Episode 258	Average Score: -284.44
Episode 259	Average Score: -284.53
Episode 260	Average Score: -284.34
Episode 261	Average Score: -284.09
Episode 262	Average Score: -284.07
Episode 263	Average Score: -283.90
Episode 264	Average Score: -283.90
Episode 265	Average Score: -283.91
Episode 266	Average Score: -283.84
Episode 267	Average Score: -283.79
Episode 268	Average Score: -283.91
Episode 269	Average Score: -283.91
Episode 270	Average Score: -283.83
Episode 271	Average Score: -283.78
Episode 272	Average Score: -283.62
Episode 273	Average Score: -283.69
Episode 274	Average Score: -283.98
Episode 275	Average Score: -275.94
Episode 276	Average Score: -275.94
Episode 277	Average Score: -275.91
Episode 278	Average Score: -275.94
Episode 279	Average Score: -283.94
Episode 280	Average Score: -283.65
Episode 281	Average Score: -283.73
Episode 282	Average Score: -283.50
Episode 283	Average Score: -275.37
Episode 284	Average Score: -275.17
Episode 285	Average Score: -275.10
Episode 286	Average Score: -275.21
Episode 287	Average Score: -275.20
Episode 288	Average Score: -275.46
Episode 289	Average Score: -283.55
Episode 290	Average Score: -283.33
Episode 291	Average Score: -283.59
Episode 292	Average Score: -291.65
Episode 293	Average Score: -291.65
Episode 294	Average Score: -291.46
Episode 295	Average Score: -291.56
Episode 296	Average Score: -291.32
Episode 297	Average Score: -291.22
Episode 298	Average Score: -291.41
Episode 299	Average Score: -291.57
Episode 300	Average Score: -291.82
Episode 300	Average Score: -291.82

Episode 301	Average Score: -291.54
Episode 302	Average Score: -291.72
Episode 303	Average Score: -291.45
Episode 304	Average Score: -291.45
Episode 305	Average Score: -291.38
Episode 306	Average Score: -291.25
Episode 307	Average Score: -291.38
Episode 308	Average Score: -291.67
Episode 309	Average Score: -291.80
Episode 310	Average Score: -292.09
Episode 311	Average Score: -284.28
Episode 312	Average Score: -284.54
Episode 313	Average Score: -284.26
Episode 314	Average Score: -284.31
Episode 315	Average Score: -284.10
Episode 316	Average Score: -283.84
Episode 317	Average Score: -283.55
Episode 318	Average Score: -283.65
Episode 319	Average Score: -283.60
Episode 320	Average Score: -275.79
Episode 321	Average Score: -276.06
Episode 322	Average Score: -268.18
Episode 323	Average Score: -268.39
Episode 324	Average Score: -268.39
Episode 325	Average Score: -268.36
Episode 326	Average Score: -276.48
Episode 327	Average Score: -276.67
Episode 328	Average Score: -276.67
Episode 329	Average Score: -276.55
Episode 330	Average Score: -276.83
Episode 331	Average Score: -276.66
Episode 332	Average Score: -268.65
Episode 333	Average Score: -268.65
Episode 334	Average Score: -268.92
Episode 335	Average Score: -269.08
Episode 336	Average Score: -269.30
Episode 337	Average Score: -269.02
Episode 338	Average Score: -269.14
Episode 339	Average Score: -268.86
Episode 340	Average Score: -268.60
Episode 341	Average Score: -268.84
Episode 342	Average Score: -268.84
Episode 343	Average Score: -268.68
Episode 344	Average Score: -260.78
Episode 345	Average Score: -252.87
Episode 346	Average Score: -244.80
Episode 347	Average Score: -244.80
Episode 348	Average Score: -244.83
Episode 349	Average Score: -244.83
Episode 350	Average Score: -245.10
Episode 351	Average Score: -245.01
Episode 352	Average Score: -244.91
Episode 353	Average Score: -245.14
Episode 354	Average Score: -244.86
Episode 355	Average Score: -244.86
Episode 356	Average Score: -244.91
Episode 357	Average Score: -236.81
Episode 358	Average Score: -236.81
Episode 359	Average Score: -237.01
Episode 360	Average Score: -237.20
Episode 361	Average Score: -229.36
Episode 362	Average Score: -229.53
Episode 363	Average Score: -229.62
Episode 364	Average Score: -229.62
Episode 365	Average Score: -229.89
Episode 366	Average Score: -230.18
Episode 367	Average Score: -230.18
Episode 368	Average Score: -230.34
Episode 369	Average Score: -230.18
Episode 370	Average Score: -230.14
Episode 371	Average Score: -230.42
Episode 372	Average Score: -230.52
Episode 373	Average Score: -230.52
Episode 374	Average Score: -230.52
Episode 375	Average Score: -238.49
Episode 376	Average Score: -238.49
Episode 377	Average Score: -238.75
Episode 378	Average Score: -238.96
Episode 379	Average Score: -238.82
Episode 380	Average Score: -238.82
Episode 381	Average Score: -238.74
Episode 382	Average Score: -238.97
Episode 383	Average Score: -247.10
Episode 384	Average Score: -247.30
Episode 385	Average Score: -247.37
Episode 386	Average Score: -247.37
Episode 387	Average Score: -247.65
Episode 388	Average Score: -247.38
Episode 389	Average Score: -247.35
Episode 390	Average Score: -247.39
Episode 391	Average Score: -247.39
Episode 392	Average Score: -247.39
Episode 393	Average Score: -247.39
Episode 394	Average Score: -247.58
Episode 395	Average Score: -247.70
Episode 396	Average Score: -247.68
Episode 397	Average Score: -247.78
Episode 398	Average Score: -247.78
Episode 399	Average Score: -239.84
Episode 400	Average Score: -239.86
Episode 400	Average Score: -239.86

Episode 401	Average Score: -239.88
Episode 402	Average Score: -239.88
Episode 403	Average Score: -240.15
Episode 404	Average Score: -240.15
Episode 405	Average Score: -240.30
Episode 406	Average Score: -240.57
Episode 407	Average Score: -240.57
Episode 408	Average Score: -240.30
Episode 409	Average Score: -232.37
Episode 410	Average Score: -232.37
Episode 411	Average Score: -240.22
Episode 412	Average Score: -239.95
Episode 413	Average Score: -240.23
Episode 414	Average Score: -240.43
Episode 415	Average Score: -240.38
Episode 416	Average Score: -240.64
Episode 417	Average Score: -240.93
Episode 418	Average Score: -241.12
Episode 419	Average Score: -241.36
Episode 420	Average Score: -249.31
Episode 421	Average Score: -249.31
Episode 422	Average Score: -257.40
Episode 423	Average Score: -257.12
Episode 424	Average Score: -256.91
Episode 425	Average Score: -257.00
Episode 426	Average Score: -257.00
Episode 427	Average Score: -257.00
Episode 428	Average Score: -257.26
Episode 429	Average Score: -257.55
Episode 430	Average Score: -249.46
Episode 431	Average Score: -249.71
Episode 432	Average Score: -257.77
Episode 433	Average Score: -257.50
Episode 434	Average Score: -257.50
Episode 435	Average Score: -257.60
Episode 436	Average Score: -257.40
Episode 437	Average Score: -249.59
Episode 438	Average Score: -249.59
Episode 439	Average Score: -249.87
Episode 440	Average Score: -250.13
Episode 441	Average Score: -249.93
Episode 442	Average Score: -249.93
Episode 443	Average Score: -250.09
Episode 444	Average Score: -258.21
Episode 445	Average Score: -266.27
Episode 446	Average Score: -274.10
Episode 447	Average Score: -273.86
Episode 448	Average Score: -273.62
Episode 449	Average Score: -273.62
Episode 450	Average Score: -273.62
Episode 451	Average Score: -265.85
Episode 452	Average Score: -265.97
Episode 453	Average Score: -265.97
Episode 454	Average Score: -266.25
Episode 455	Average Score: -266.25
Episode 456	Average Score: -266.25
Episode 457	Average Score: -266.26
Episode 458	Average Score: -266.26
Episode 459	Average Score: -266.26
Episode 460	Average Score: -266.26
Episode 461	Average Score: -274.08
Episode 462	Average Score: -274.08
Episode 463	Average Score: -274.24
Episode 464	Average Score: -274.24
Episode 465	Average Score: -274.24
Episode 466	Average Score: -274.24
Episode 467	Average Score: -274.53
Episode 468	Average Score: -274.30
Episode 469	Average Score: -274.46
Episode 470	Average Score: -274.71
Episode 471	Average Score: -274.71
Episode 472	Average Score: -274.59
Episode 473	Average Score: -274.59
Episode 474	Average Score: -266.53
Episode 475	Average Score: -258.54
Episode 476	Average Score: -258.54
Episode 477	Average Score: -250.44
Episode 478	Average Score: -250.44
Episode 479	Average Score: -250.70
Episode 480	Average Score: -250.99
Episode 481	Average Score: -251.01
Episode 482	Average Score: -251.01
Episode 483	Average Score: -251.01
Episode 484	Average Score: -251.01
Episode 485	Average Score: -251.01
Episode 486	Average Score: -250.77
Episode 487	Average Score: -250.77
Episode 488	Average Score: -251.04
Episode 489	Average Score: -250.91
Episode 490	Average Score: -242.94
Episode 491	Average Score: -242.94
Episode 492	Average Score: -242.94
Episode 493	Average Score: -242.94
Episode 494	Average Score: -242.94
Episode 495	Average Score: -242.68
Episode 496	Average Score: -242.94
Episode 497	Average Score: -242.94
Episode 498	Average Score: -242.94
Episode 499	Average Score: -242.94
Episode 500	Average Score: -242.94
Episode 500	Average Score: -242.94

Episode 501	Average Score: -243.20
Episode 502	Average Score: -243.20
Episode 503	Average Score: -243.18
Episode 504	Average Score: -243.18
Episode 505	Average Score: -243.31
Episode 506	Average Score: -243.15
Episode 507	Average Score: -243.15
Episode 508	Average Score: -243.42
Episode 509	Average Score: -251.48
Episode 510	Average Score: -251.48
