pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 208	Average Score: -303.80
Episode 209	Average Score: -303.85
Episode 210	Average Score: -303.97
Episode 211	Average Score: -303.99
Episode 212	Average Score: -304.03
Episode 213	Average Score: -303.92
Episode 214	Average Score: -303.91
Episode 215	Average Score: -303.91
Episode 216	Average Score: -303.78
Episode 217	Average Score: -303.68
Episode 218	Average Score: -303.69
Episode 219	Average Score: -303.70
Episode 220	Average Score: -303.70
Episode 221	Average Score: -303.72
Episode 222	Average Score: -303.73
Episode 223	Average Score: -303.76
Episode 224	Average Score: -303.84
Episode 225	Average Score: -303.71
Episode 226	Average Score: -303.65
Episode 227	Average Score: -303.66
Episode 228	Average Score: -303.66
Episode 229	Average Score: -303.68
Episode 230	Average Score: -303.69
Episode 231	Average Score: -303.69
Episode 232	Average Score: -303.58
Episode 233	Average Score: -303.57
Episode 234	Average Score: -303.57
Episode 235	Average Score: -303.58
Episode 236	Average Score: -303.61
Episode 237	Average Score: -303.53
Episode 238	Average Score: -303.55
Episode 239	Average Score: -303.41
Episode 240	Average Score: -303.40
Episode 241	Average Score: -303.40
Episode 242	Average Score: -303.52
Episode 243	Average Score: -303.52
Episode 244	Average Score: -303.54
Episode 245	Average Score: -303.56
Episode 246	Average Score: -303.55
Episode 247	Average Score: -303.67
Episode 248	Average Score: -303.69
Episode 249	Average Score: -303.71
Episode 250	Average Score: -303.71
Episode 251	Average Score: -303.63
Episode 252	Average Score: -303.70
Episode 253	Average Score: -303.71
Episode 254	Average Score: -303.80
Episode 255	Average Score: -303.88
Episode 256	Average Score: -303.91
Episode 257	Average Score: -303.90
Episode 258	Average Score: -303.93
Episode 259	Average Score: -303.99
Episode 260	Average Score: -303.98
Episode 261	Average Score: -303.99
Episode 262	Average Score: -303.94
Episode 263	Average Score: -304.14
Episode 264	Average Score: -304.15
Episode 265	Average Score: -304.15
Episode 266	Average Score: -304.13
Episode 267	Average Score: -304.11
Episode 268	Average Score: -304.07
Episode 269	Average Score: -304.12
Episode 270	Average Score: -304.10
Episode 271	Average Score: -304.13
Episode 272	Average Score: -304.07
Episode 273	Average Score: -304.11
Episode 274	Average Score: -304.03
Episode 275	Average Score: -304.06
Episode 276	Average Score: -304.07
Episode 277	Average Score: -304.09
Episode 278	Average Score: -304.11
Episode 279	Average Score: -304.13
Episode 280	Average Score: -303.80
Episode 281	Average Score: -303.82
Episode 282	Average Score: -303.67
Episode 283	Average Score: -303.85
Episode 284	Average Score: -303.82
Episode 285	Average Score: -303.70
Episode 286	Average Score: -303.70
Episode 287	Average Score: -303.70
Episode 288	Average Score: -303.70
Episode 289	Average Score: -303.73
Episode 290	Average Score: -303.73
Episode 291	Average Score: -303.71
Episode 292	Average Score: -303.66
Episode 293	Average Score: -303.53
Episode 294	Average Score: -303.53
Episode 295	Average Score: -303.54
Episode 296	Average Score: -303.44
Episode 297	Average Score: -303.41
Episode 298	Average Score: -303.41
Episode 299	Average Score: -303.41
Episode 300	Average Score: -303.41
Episode 300	Average Score: -303.41

Episode 301	Average Score: -303.35
Episode 302	Average Score: -303.31
Episode 303	Average Score: -303.32
Episode 304	Average Score: -303.27
Episode 305	Average Score: -303.24
Episode 306	Average Score: -303.22
Episode 307	Average Score: -303.22
Episode 308	Average Score: -303.14
Episode 309	Average Score: -303.17
Episode 310	Average Score: -303.23
Episode 311	Average Score: -303.21
Episode 312	Average Score: -303.23
Episode 313	Average Score: -303.30
Episode 314	Average Score: -303.30
Episode 315	Average Score: -303.30
Episode 316	Average Score: -303.30
Episode 317	Average Score: -303.30
Episode 318	Average Score: -303.32
Episode 319	Average Score: -303.32
Episode 320	Average Score: -303.35
Episode 321	Average Score: -303.33
Episode 322	Average Score: -303.38
Episode 323	Average Score: -303.42
Episode 324	Average Score: -303.34
Episode 325	Average Score: -303.33
Episode 326	Average Score: -303.35
Episode 327	Average Score: -303.42
Episode 328	Average Score: -303.44
Episode 329	Average Score: -303.42
Episode 330	Average Score: -303.51
Episode 331	Average Score: -303.51
Episode 332	Average Score: -303.53
Episode 333	Average Score: -303.61
Episode 334	Average Score: -303.62
Episode 335	Average Score: -303.63
Episode 336	Average Score: -303.60
Episode 337	Average Score: -303.64
Episode 338	Average Score: -303.65
Episode 339	Average Score: -303.66
Episode 340	Average Score: -303.66
Episode 341	Average Score: -303.69
Episode 342	Average Score: -303.60
Episode 343	Average Score: -303.61
Episode 344	Average Score: -303.67
Episode 345	Average Score: -303.74
Episode 346	Average Score: -303.75
Episode 347	Average Score: -303.71
Episode 348	Average Score: -303.71
Episode 349	Average Score: -303.73
Episode 350	Average Score: -303.70
Episode 351	Average Score: -303.82
Episode 352	Average Score: -303.75
Episode 353	Average Score: -303.73
Episode 354	Average Score: -303.68
Episode 355	Average Score: -303.63
Episode 356	Average Score: -303.62
Episode 357	Average Score: -303.60
Episode 358	Average Score: -303.61
Episode 359	Average Score: -303.56
Episode 360	Average Score: -303.56
Episode 361	Average Score: -303.54
Episode 362	Average Score: -303.57
Episode 363	Average Score: -303.35
Episode 364	Average Score: -303.33
Episode 365	Average Score: -303.33
Episode 366	Average Score: -303.44
Episode 367	Average Score: -303.42
Episode 368	Average Score: -303.41
Episode 369	Average Score: -303.36
Episode 370	Average Score: -303.38
Episode 371	Average Score: -303.37
Episode 372	Average Score: -303.40
Episode 373	Average Score: -303.32
Episode 374	Average Score: -303.35
Episode 375	Average Score: -303.27
Episode 376	Average Score: -303.26
Episode 377	Average Score: -303.26
Episode 378	Average Score: -303.22
Episode 379	Average Score: -303.20
Episode 380	Average Score: -303.21
Episode 381	Average Score: -303.14
Episode 382	Average Score: -303.13
Episode 383	Average Score: -302.94
Episode 384	Average Score: -302.93
Episode 385	Average Score: -302.95
Episode 386	Average Score: -302.96
Episode 387	Average Score: -302.96
Episode 388	Average Score: -303.04
Episode 389	Average Score: -302.97
Episode 390	Average Score: -303.09
Episode 391	Average Score: -303.11
Episode 392	Average Score: -303.06
Episode 393	Average Score: -303.04
Episode 394	Average Score: -303.09
Episode 395	Average Score: -303.11
Episode 396	Average Score: -303.20
Episode 397	Average Score: -303.19
Episode 398	Average Score: -303.21
Episode 399	Average Score: -303.22
Episode 400	Average Score: -303.21
Episode 400	Average Score: -303.21

Episode 401	Average Score: -303.32
Episode 402	Average Score: -303.32
Episode 403	Average Score: -303.45
Episode 404	Average Score: -303.45
Episode 405	Average Score: -303.44
Episode 406	Average Score: -303.45
Episode 407	Average Score: -303.48
Episode 408	Average Score: -303.46
Episode 409	Average Score: -303.41
Episode 410	Average Score: -303.27
Episode 411	Average Score: -303.36
Episode 412	Average Score: -303.32
Episode 413	Average Score: -303.29
Episode 414	Average Score: -303.29
Episode 415	Average Score: -303.28
Episode 416	Average Score: -303.40
Episode 417	Average Score: -303.44
Episode 418	Average Score: -303.41
Episode 419	Average Score: -303.40
Episode 420	Average Score: -303.38
Episode 421	Average Score: -303.43
Episode 422	Average Score: -303.37
Episode 423	Average Score: -303.36
Episode 424	Average Score: -303.38
Episode 425	Average Score: -303.42
Episode 426	Average Score: -303.43
Episode 427	Average Score: -303.47
Episode 428	Average Score: -303.45
Episode 429	Average Score: -303.46
Episode 430	Average Score: -303.37
Episode 431	Average Score: -303.37
Episode 432	Average Score: -303.46
Episode 433	Average Score: -303.36
Episode 434	Average Score: -303.36
Episode 435	Average Score: -303.38
Episode 436	Average Score: -303.38
Episode 437	Average Score: -303.30
Episode 438	Average Score: -303.34
Episode 439	Average Score: -303.37
Episode 440	Average Score: -303.38
Episode 441	Average Score: -303.32
Episode 442	Average Score: -303.31
Episode 443	Average Score: -303.40
Episode 444	Average Score: -303.45
Episode 445	Average Score: -303.32
Episode 446	Average Score: -303.56
Episode 447	Average Score: -303.45
Episode 448	Average Score: -303.43
Episode 449	Average Score: -303.41
Episode 450	Average Score: -303.43
Episode 451	Average Score: -303.31
Episode 452	Average Score: -303.35
Episode 453	Average Score: -303.35
Episode 454	Average Score: -303.39
Episode 455	Average Score: -303.34
Episode 456	Average Score: -303.32
Episode 457	Average Score: -303.27
Episode 458	Average Score: -303.23
Episode 459	Average Score: -303.22
Episode 460	Average Score: -303.28
Episode 461	Average Score: -303.30
Episode 462	Average Score: -303.25
Episode 463	Average Score: -303.29
Episode 464	Average Score: -303.36
Episode 465	Average Score: -303.39
Episode 466	Average Score: -303.29
Episode 467	Average Score: -303.37
Episode 468	Average Score: -303.38
Episode 469	Average Score: -303.42
