pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 208	Average Score: -297.83
Episode 209	Average Score: -297.82
Episode 210	Average Score: -297.89
Episode 211	Average Score: -297.90
Episode 212	Average Score: -297.85
Episode 213	Average Score: -297.89
Episode 214	Average Score: -297.87
Episode 215	Average Score: -297.84
Episode 216	Average Score: -297.86
Episode 217	Average Score: -297.77
Episode 218	Average Score: -297.76
Episode 219	Average Score: -297.76
Episode 220	Average Score: -297.47
Episode 221	Average Score: -297.43
Episode 222	Average Score: -297.56
Episode 223	Average Score: -297.42
Episode 224	Average Score: -297.42
Episode 225	Average Score: -297.45
Episode 226	Average Score: -297.18
Episode 227	Average Score: -297.20
Episode 228	Average Score: -297.19
Episode 229	Average Score: -297.12
Episode 230	Average Score: -297.04
Episode 231	Average Score: -297.05
Episode 232	Average Score: -297.05
Episode 233	Average Score: -296.79
Episode 234	Average Score: -296.62
Episode 235	Average Score: -296.33
Episode 236	Average Score: -296.23
Episode 237	Average Score: -296.17
Episode 238	Average Score: -296.46
Episode 239	Average Score: -296.46
Episode 240	Average Score: -296.47
Episode 241	Average Score: -296.44
Episode 242	Average Score: -296.44
Episode 243	Average Score: -296.58
Episode 244	Average Score: -296.74
Episode 245	Average Score: -296.72
Episode 246	Average Score: -296.96
Episode 247	Average Score: -297.03
Episode 248	Average Score: -297.03
Episode 249	Average Score: -296.80
Episode 250	Average Score: -296.80
Episode 251	Average Score: -296.70
Episode 252	Average Score: -296.79
Episode 253	Average Score: -296.86
Episode 254	Average Score: -297.11
Episode 255	Average Score: -297.14
Episode 256	Average Score: -297.21
Episode 257	Average Score: -297.37
Episode 258	Average Score: -297.11
Episode 259	Average Score: -297.08
Episode 260	Average Score: -297.04
Episode 261	Average Score: -297.15
Episode 262	Average Score: -297.18
Episode 263	Average Score: -297.39
Episode 264	Average Score: -297.32
Episode 265	Average Score: -297.30
Episode 266	Average Score: -297.30
Episode 267	Average Score: -297.38
Episode 268	Average Score: -297.30
Episode 269	Average Score: -297.32
Episode 270	Average Score: -297.32
Episode 271	Average Score: -297.60
Episode 272	Average Score: -297.60
Episode 273	Average Score: -297.79
Episode 274	Average Score: -297.78
Episode 275	Average Score: -297.60
Episode 276	Average Score: -297.59
Episode 277	Average Score: -297.62
Episode 278	Average Score: -297.51
Episode 279	Average Score: -297.50
Episode 280	Average Score: -297.56
Episode 281	Average Score: -297.56
Episode 282	Average Score: -297.48
Episode 283	Average Score: -297.58
Episode 284	Average Score: -297.55
Episode 285	Average Score: -297.75
Episode 286	Average Score: -297.74
Episode 287	Average Score: -297.81
Episode 288	Average Score: -297.81
Episode 289	Average Score: -297.53
Episode 290	Average Score: -297.69
Episode 291	Average Score: -297.68
Episode 292	Average Score: -297.70
Episode 293	Average Score: -297.70
Episode 294	Average Score: -297.75
Episode 295	Average Score: -298.04
Episode 296	Average Score: -297.89
Episode 297	Average Score: -297.93
Episode 298	Average Score: -298.12
Episode 299	Average Score: -298.20
Episode 300	Average Score: -298.16
Episode 300	Average Score: -298.16

Episode 301	Average Score: -298.22
Episode 302	Average Score: -298.22
Episode 303	Average Score: -306.32
Episode 304	Average Score: -306.29
Episode 305	Average Score: -306.30
Episode 306	Average Score: -306.42
Episode 307	Average Score: -306.45
Episode 308	Average Score: -306.46
Episode 309	Average Score: -306.48
Episode 310	Average Score: -306.34
Episode 311	Average Score: -306.56
Episode 312	Average Score: -306.41
Episode 313	Average Score: -306.37
Episode 314	Average Score: -306.30
Episode 315	Average Score: -306.31
Episode 316	Average Score: -306.31
